h_value,rowid,lon,lat,year,rcp,spp,total_value,time_step
0.444487689062953,2524,-122.5,12.5,2009,rcp85,skj,0.444487689062953,present
0.40501939319074154,2525,-120.5,12.5,2009,rcp85,skj,0.40501939319074154,present
0.37000075727701187,2526,-118.5,12.5,2009,rcp85,skj,0.37000075727701187,present
0.3642851300537586,2527,-116.5,12.5,2009,rcp85,skj,0.3642851300537586,present
0.38026074692606926,2528,-114.5,12.5,2009,rcp85,skj,0.38026074692606926,present
0.21973463986068964,2599,-142.5,14.5,2009,rcp85,skj,0.21973463986068964,present
0.22675702348351479,2600,-140.5,14.5,2009,rcp85,skj,0.22675702348351479,present
0.2358820168301463,2601,-138.5,14.5,2009,rcp85,skj,0.2358820168301463,present
0.24764936417341232,2602,-136.5,14.5,2009,rcp85,skj,0.24764936417341232,present
0.26336949691176414,2603,-134.5,14.5,2009,rcp85,skj,0.26336949691176414,present
