spp,rcp,zone,year,total_value
yft,rcp85,Outside,2011,136.99418932505887
yft,rcp45,CCZ,2012,5.385707190066266
yft,rcp45,Outside,2012,138.49167519282946
yft,rcp85,CCZ,2012,5.357119685960545
yft,rcp85,Outside,2012,138.46279077181012
yft,rcp45,CCZ,2013,5.9040836945156725
yft,rcp45,Outside,2013,144.9186270416973
yft,rcp85,CCZ,2013,5.734538804894934
yft,rcp85,Outside,2013,145.32570326163628
yft,rcp45,CCZ,2014,7.012364167904404
yft,rcp45,Outside,2014,152.9361578891294
yft,rcp85,CCZ,2014,6.831896448711632
yft,rcp85,Outside,2014,150.9959937845218
yft,rcp45,CCZ,2015,7.438417218344209
yft,rcp45,Outside,2015,156.37946911470286
yft,rcp85,CCZ,2015,6.990247718456279
yft,rcp85,Outside,2015,152.72990083896488
yft,rcp45,CCZ,2016,7.210224972009503
yft,rcp45,Outside,2016,156.1409694922116
yft,rcp85,CCZ,2016,7.380357888371994
yft,rcp85,Outside,2016,153.5585490635755
yft,rcp45,CCZ,2017,7.461030700748476
yft,rcp45,Outside,2017,154.91664890688875
yft,rcp85,CCZ,2017,7.433894695995453
yft,rcp85,Outside,2017,152.88069432243023
yft,rcp45,CCZ,2018,7.468335923176103
yft,rcp45,Outside,2018,153.47965116088776
yft,rcp85,CCZ,2018,6.763741616198483
yft,rcp85,Outside,2018,150.52162587762845
yft,rcp45,CCZ,2019,6.775251851698461
yft,rcp45,Outside,2019,150.7885007851743
yft,rcp85,CCZ,2019,6.663154543552082
yft,rcp85,Outside,2019,148.20278935850547
yft,rcp45,CCZ,2020,6.569850212913782
yft,rcp45,Outside,2020,148.53445318051067
yft,rcp85,CCZ,2020,7.156925650895573
yft,rcp85,Outside,2020,150.95112559676363
yft,rcp45,CCZ,2021,7.034631672441416
yft,rcp45,Outside,2021,151.40008164180077
yft,rcp85,CCZ,2021,7.583730197822054
yft,rcp85,Outside,2021,154.73569917666342
yft,rcp45,CCZ,2022,7.691726911007815
yft,rcp45,Outside,2022,155.57601218794267
yft,rcp85,CCZ,2022,7.31472706318406
yft,rcp85,Outside,2022,157.23812992362613
yft,rcp45,CCZ,2023,7.745151939142185
yft,rcp45,Outside,2023,159.0910323103523
yft,rcp85,CCZ,2023,6.910156860695376
yft,rcp85,Outside,2023,157.12465577710554
yft,rcp45,CCZ,2024,7.239279417127061
yft,rcp45,Outside,2024,160.31034731236863
yft,rcp85,CCZ,2024,7.36331826262176
yft,rcp85,Outside,2024,159.10156622780536
yft,rcp45,CCZ,2025,6.786078942522484
yft,rcp45,Outside,2025,158.28774858100255
yft,rcp85,CCZ,2025,7.7738121633398505
yft,rcp85,Outside,2025,161.54996971734727
yft,rcp45,CCZ,2026,7.170884694254103
yft,rcp45,Outside,2026,158.71749824996246
yft,rcp85,CCZ,2026,7.943851125756434
yft,rcp85,Outside,2026,160.79370742003752
yft,rcp45,CCZ,2027,7.722195974560843
yft,rcp45,Outside,2027,161.21529661675413
yft,rcp85,CCZ,2027,7.5135092754013995
yft,rcp85,Outside,2027,156.22239661231652
yft,rcp45,CCZ,2028,8.175634828066299
yft,rcp45,Outside,2028,163.81682131208618
yft,rcp85,CCZ,2028,7.180409749300452
yft,rcp85,Outside,2028,154.35291710283127
yft,rcp45,CCZ,2029,8.164076851351032
yft,rcp45,Outside,2029,163.56751255032728
yft,rcp85,CCZ,2029,7.417879453772912
yft,rcp85,Outside,2029,153.63026403422313
yft,rcp45,CCZ,2030,7.856880993116647
yft,rcp45,Outside,2030,159.66603660267415
yft,rcp85,CCZ,2030,7.196766802944087
yft,rcp85,Outside,2030,155.20099797225885
yft,rcp45,CCZ,2031,7.528308653689844
yft,rcp45,Outside,2031,154.53153134241165
yft,rcp85,CCZ,2031,7.554753511494103
yft,rcp85,Outside,2031,159.44079482538896
yft,rcp45,CCZ,2032,7.293110896163853
yft,rcp45,Outside,2032,152.54666846844898
yft,rcp85,CCZ,2032,7.901698930383039
yft,rcp85,Outside,2032,160.01150289704734
yft,rcp45,CCZ,2033,7.0203166460657185
yft,rcp45,Outside,2033,153.06125365244316
yft,rcp85,CCZ,2033,7.504614515268865
yft,rcp85,Outside,2033,159.3228525864603
yft,rcp45,CCZ,2034,6.944043106991255
yft,rcp45,Outside,2034,154.83385667924026
yft,rcp85,CCZ,2034,7.424662163403506
yft,rcp85,Outside,2034,160.70374592437506
yft,rcp45,CCZ,2035,7.01449125794655
yft,rcp45,Outside,2035,156.50765432224034
yft,rcp85,CCZ,2035,7.670591804024298
yft,rcp85,Outside,2035,163.0642355685571
yft,rcp45,CCZ,2036,7.43239402299514
yft,rcp45,Outside,2036,159.51606140074577
yft,rcp85,CCZ,2036,7.770474795620734
yft,rcp85,Outside,2036,163.55409505170974
yft,rcp45,CCZ,2037,7.998662918059078
yft,rcp45,Outside,2037,163.73585071238358
yft,rcp85,CCZ,2037,7.437070993949115
yft,rcp85,Outside,2037,162.3559045815488
yft,rcp45,CCZ,2038,8.092644227222385
yft,rcp45,Outside,2038,166.7015738598675
yft,rcp85,CCZ,2038,7.340382937594161
yft,rcp85,Outside,2038,160.5852294749202
yft,rcp45,CCZ,2039,7.7897769981742995
yft,rcp45,Outside,2039,166.53876635092365
yft,rcp85,CCZ,2039,7.259330000175396
yft,rcp85,Outside,2039,159.0718145728873
yft,rcp45,CCZ,2040,7.4222682725036675
yft,rcp45,Outside,2040,164.29187096880347
yft,rcp85,CCZ,2040,7.329151221803234
yft,rcp85,Outside,2040,159.94499939315938
yft,rcp45,CCZ,2041,7.48033289530819
yft,rcp45,Outside,2041,162.8109266926464
yft,rcp85,CCZ,2041,7.227939631857832
yft,rcp85,Outside,2041,159.81918317980035
yft,rcp45,CCZ,2042,7.658876334443145
yft,rcp45,Outside,2042,162.46987044643052
yft,rcp85,CCZ,2042,6.781544522634552
yft,rcp85,Outside,2042,162.11858226885911
yft,rcp45,CCZ,2043,7.894183772693698
yft,rcp45,Outside,2043,163.54027863824408
yft,rcp85,CCZ,2043,7.258228817294973
yft,rcp85,Outside,2043,166.2694250610542
yft,rcp45,CCZ,2044,7.986999487417052
yft,rcp45,Outside,2044,164.14709497452228
yft,rcp85,CCZ,2044,7.258386108665339
yft,rcp85,Outside,2044,166.4787079788251
yft,rcp45,CCZ,2045,7.907709870371036
yft,rcp45,Outside,2045,163.9799101366034
yft,rcp85,CCZ,2045,6.898394543435036
yft,rcp85,Outside,2045,166.53239827743982
yft,rcp45,CCZ,2046,7.775233311268191
yft,rcp45,Outside,2046,162.9425989568872
yft,rcp85,CCZ,2046,7.425322563901621
yft,rcp85,Outside,2046,168.70032272353183
yft,rcp45,CCZ,2047,7.616321979430116
yft,rcp45,Outside,2047,161.5269856309942
yft,rcp85,CCZ,2047,7.963619415784099
yft,rcp85,Outside,2047,166.86550589588873
yft,rcp45,CCZ,2048,7.463290339141774
yft,rcp45,Outside,2048,160.0443488452623
yft,rcp85,CCZ,2048,7.66460205061594
yft,rcp85,Outside,2048,163.6027872995716
yft,rcp45,CCZ,2049,7.390261529391864
yft,rcp45,Outside,2049,159.1487858212125
yft,rcp85,CCZ,2049,7.794444292395686
yft,rcp85,Outside,2049,159.57627004571228
yft,rcp45,CCZ,2050,7.335232630362346
yft,rcp45,Outside,2050,158.6457272470913
yft,rcp85,CCZ,2050,7.447820528390973
yft,rcp85,Outside,2050,153.79643791560284
yft,rcp45,CCZ,2051,7.261863513451924
yft,rcp45,Outside,2051,158.91054330397915
yft,rcp85,CCZ,2051,7.106295231234981
yft,rcp85,Outside,2051,152.91741920296013
yft,rcp45,CCZ,2052,7.269803383426431
